"filename", "language", "Vue.js", "JavaScript", "CSS", "comment", "blank", "total"
"f:\VSCodeWorkspace\smart-fire-control\src\App.vue", "Vue.js", 13, 0, 0, 0, 2, 15
"f:\VSCodeWorkspace\smart-fire-control\src\api\auth-api.js", "JavaScript", 0, 7, 0, 0, 1, 8
"f:\VSCodeWorkspace\smart-fire-control\src\api\data-http.js", "JavaScript", 0, 97, 0, 23, 13, 133
"f:\VSCodeWorkspace\smart-fire-control\src\api\home-page-api.js", "JavaScript", 0, 39, 0, 9, 11, 59
"f:\VSCodeWorkspace\smart-fire-control\src\api\info-page-api.js", "JavaScript", 0, 31, 0, 7, 8, 46
"f:\VSCodeWorkspace\smart-fire-control\src\api\page-http.js", "JavaScript", 0, 36, 0, 1, 6, 43
"f:\VSCodeWorkspace\smart-fire-control\src\assets\map-style.js", "JavaScript", 0, 89, 0, 0, 1, 90
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout.vue", "Vue.js", 53, 0, 0, 0, 5, 58
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout\AlertInfos.vue", "Vue.js", 193, 0, 0, 1, 4, 198
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout\IncreaseDev.vue", "Vue.js", 172, 0, 0, 1, 7, 180
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout\IncreaseDevComp\NewIncProjectModal.vue", "Vue.js", 86, 0, 0, 0, 2, 88
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout\Map.vue", "Vue.js", 190, 0, 0, 5, 4, 199
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout\PieChartComp\NormalAndAbnormalDevPie.vue", "Vue.js", 76, 0, 0, 0, 3, 79
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout\PieChartComp\OnOffDevPie.vue", "Vue.js", 75, 0, 0, 0, 4, 79
"f:\VSCodeWorkspace\smart-fire-control\src\components\ContentLayout\HomePageLayout\PieChartComp\TwoRatePie.vue", "Vue.js", 95, 0, 0, 0, 4, 99
